Model,Ground Truth #Correct,Ground Truth #Incorrect,DeepInfer #Violation,DeepInfer #Satisfaction,DeepInfer #Correct,DeepInfer #Incorrect,DeepInfer #Uncertain
PD1,119,34,192,1032,108,43,2
PD2,99,54,0,1224,153,0,0
PD3,98,55,129,1095,74,79,0
PD4,111,42,132,1092,37,116,0
HP1,147,145,341,2579,188,98,6
HP2,147,145,341,2579,188,98,6
HP3,145,147,0,2920,292,0,0
HP4,147,145,188,2732,107,184,1
BM1,1072,1044,18814,40434,616,1500,0
BM2,1066,1050,14855,44393,1492,624,0
BM3,1054,1062,7370,51878,734,1382,0
BM4,1067,1049,17486,41762,1061,1055,0
BM5,1052,1064,18807,40441,806,1310,0
BM6,1059,1057,21691,37557,1214,902,0
BM7,1074,1042,12762,46486,1375,741,0
BM8,1075,1041,15213,44035,1089,1027,0
BM9,1058,1058,16830,42418,825,1291,0
BM10,1092,1024,31426,27822,576,1540,0
BM11,1092,1024,20266,38982,803,1313,0
BM12,1075,1041,17730,41518,1367,749,0
GC1,198,2,1044,3356,111,89,0
GC2,198,2,959,3441,48,152,0
GC3,198,2,924,3476,108,92,0
GC4,198,2,1563,2837,79,121,0
GC5,198,2,1193,3207,63,137,0
GC6,198,2,957,3443,75,125,0
GC7,198,2,1087,3313,99,101,0
GC8,198,2,1673,2727,174,26,0
GC9,198,2,1673,2727,174,26,0
