Model,Actual FP,Actual TP,DeepInfer FP,DeepInfer TP,DeepInfer FN,DeepInfer TN,Precision,Recall,Accuracy,TPR,FPR,F-1 Score
PD1,34,119,26,82,37,8,0.76,0.69,0.59,0.69,0.76,0.72
PD2,54,99,54,99,0,0,0.65,1.0,0.65,1.0,1.0,0.79
PD3,55,98,23,51,47,32,0.69,0.52,0.54,0.52,0.42,0.59
PD4,42,111,16,21,90,26,0.57,0.19,0.31,0.19,0.38,0.28
HP1,145,147,62,126,21,83,0.67,0.86,0.72,0.86,0.43,0.75
HP2,145,147,62,126,21,83,0.67,0.86,0.72,0.86,0.43,0.75
HP3,147,145,147,145,0,0,0.5,1.0,0.5,1.0,1.0,0.66
HP4,145,147,35,72,75,110,0.67,0.49,0.62,0.49,0.24,0.57
BM1,1044,1072,346,270,802,698,0.44,0.25,0.46,0.25,0.33,0.32
BM2,1050,1066,751,741,325,299,0.5,0.7,0.49,0.7,0.72,0.58
BM3,1024,1092,429,305,787,595,0.42,0.28,0.43,0.28,0.42,0.33
BM4,1049,1067,568,493,574,481,0.46,0.46,0.46,0.46,0.54,0.46
BM5,1064,1052,419,387,665,645,0.48,0.37,0.49,0.37,0.39,0.42
BM6,1057,1059,595,619,440,462,0.51,0.58,0.51,0.58,0.56,0.54
BM7,1042,1074,672,703,371,370,0.51,0.65,0.51,0.65,0.64,0.57
BM8,1041,1075,578,511,564,463,0.47,0.48,0.46,0.48,0.56,0.47
BM9,1058,1058,373,452,606,685,0.55,0.43,0.54,0.43,0.35,0.48
BM10,1024,1092,341,235,857,683,0.41,0.22,0.43,0.22,0.33,0.28
BM11,1062,1054,414,389,665,648,0.48,0.37,0.49,0.37,0.39,0.42
BM12,1041,1075,661,706,369,380,0.52,0.66,0.51,0.66,0.63,0.58
GC1,2,198,1,110,88,1,0.99,0.56,0.56,0.56,0.5,0.71
GC2,2,198,0,48,150,2,1.0,0.24,0.25,0.24,0.0,0.39
GC3,2,198,0,108,90,2,1.0,0.55,0.55,0.55,0.0,0.71
GC4,2,198,1,78,120,1,0.99,0.39,0.4,0.39,0.5,0.56
GC5,2,198,1,62,136,1,0.98,0.31,0.32,0.31,0.5,0.48
GC6,2,198,0,75,123,2,1.0,0.38,0.38,0.38,0.0,0.55
GC7,2,198,1,98,100,1,0.99,0.49,0.5,0.49,0.5,0.66
GC8,2,198,2,172,26,0,0.99,0.87,0.86,0.87,1.0,0.92
GC9,2,198,2,172,26,0,0.99,0.87,0.86,0.87,1.0,0.92
